episode: 001	 steps: 10000	 total steps:010001	 epsilon: 0.99
episode: 002	 steps: 10000	 total steps:020001	 epsilon: 0.98
episode: 003	 steps: 03565	 total steps:023566	 epsilon: 0.98
episode: 004	 steps: 10000	 total steps:033566	 epsilon: 0.97
episode: 005	 steps: 10000	 total steps:043566	 epsilon: 0.96
episode: 006	 steps: 10000	 total steps:053566	 epsilon: 0.95
episode: 007	 steps: 10000	 total steps:063566	 epsilon: 0.94
episode: 008	 steps: 10000	 total steps:073566	 epsilon: 0.93
episode: 009	 steps: 10000	 total steps:083566	 epsilon: 0.92
episode: 010	 steps: 10000	 total steps:093566	 epsilon: 0.92
episode: 011	 steps: 10000	 total steps:103566	 epsilon: 0.91
episode: 012	 steps: 10000	 total steps:113566	 epsilon: 0.90
episode: 013	 steps: 10000	 total steps:123566	 epsilon: 0.89
episode: 014	 steps: 10000	 total steps:133566	 epsilon: 0.88
episode: 015	 steps: 10000	 total steps:143566	 epsilon: 0.87
episode: 016	 steps: 10000	 total steps:153566	 epsilon: 0.86
episode: 017	 steps: 05515	 total steps:159081	 epsilon: 0.86
episode: 018	 steps: 09281	 total steps:168362	 epsilon: 0.85
episode: 019	 steps: 03734	 total steps:172096	 epsilon: 0.85
episode: 020	 steps: 10000	 total steps:182096	 epsilon: 0.84
episode: 021	 steps: 06278	 total steps:188374	 epsilon: 0.83
episode: 022	 steps: 10000	 total steps:198374	 epsilon: 0.82
episode: 023	 steps: 10000	 total steps:208374	 epsilon: 0.81
episode: 024	 steps: 10000	 total steps:218374	 epsilon: 0.80
episode: 025	 steps: 10000	 total steps:228374	 epsilon: 0.79
episode: 026	 steps: 10000	 total steps:238374	 epsilon: 0.79
episode: 027	 steps: 02194	 total steps:240568	 epsilon: 0.78
episode: 028	 steps: 10000	 total steps:250568	 epsilon: 0.77
episode: 029	 steps: 10000	 total steps:260568	 epsilon: 0.77
episode: 030	 steps: 10000	 total steps:270568	 epsilon: 0.76
episode: 031	 steps: 10000	 total steps:280568	 epsilon: 0.75
episode: 032	 steps: 05092	 total steps:285660	 epsilon: 0.74
episode: 033	 steps: 10000	 total steps:295660	 epsilon: 0.73
episode: 034	 steps: 10000	 total steps:305660	 epsilon: 0.72
episode: 035	 steps: 10000	 total steps:315660	 epsilon: 0.72
episode: 036	 steps: 09055	 total steps:324715	 epsilon: 0.71
episode: 037	 steps: 10000	 total steps:334715	 epsilon: 0.70
episode: 038	 steps: 10000	 total steps:344715	 epsilon: 0.69
episode: 039	 steps: 10000	 total steps:354715	 epsilon: 0.68
episode: 040	 steps: 10000	 total steps:364715	 epsilon: 0.67
episode: 041	 steps: 10000	 total steps:374715	 epsilon: 0.66
episode: 042	 steps: 10000	 total steps:384715	 epsilon: 0.65
episode: 043	 steps: 04834	 total steps:389549	 epsilon: 0.65
episode: 044	 steps: 02382	 total steps:391931	 epsilon: 0.65
episode: 045	 steps: 08314	 total steps:400245	 epsilon: 0.64
episode: 046	 steps: 10000	 total steps:410245	 epsilon: 0.63
episode: 047	 steps: 10000	 total steps:420245	 epsilon: 0.62
episode: 048	 steps: 10000	 total steps:430245	 epsilon: 0.61
episode: 049	 steps: 10000	 total steps:440245	 epsilon: 0.60
episode: 050	 steps: 10000	 total steps:450245	 epsilon: 0.59
Evaluation: 1	 average reward: -7206.5
episode: 051	 steps: 06290	 total steps:456535	 epsilon: 0.59
episode: 052	 steps: 10000	 total steps:466535	 epsilon: 0.58
episode: 053	 steps: 10000	 total steps:476535	 epsilon: 0.57
episode: 054	 steps: 10000	 total steps:486535	 epsilon: 0.56
episode: 055	 steps: 10000	 total steps:496535	 epsilon: 0.55
episode: 056	 steps: 04364	 total steps:500899	 epsilon: 0.55
