episode: 1	 steps: 100	 total steps: 100	 epsilon: 0.90
C:\Users\lenna\PycharmProjects\MountainCar\DQN\train_dqn_frame_skip.py:125: FutureWarning: The input object of type 'Tensor' is an array-like implementing one of the corresponding protocols (`__array__`, `__array_interface__` or `__array_struct__`); but not a sequence (or 0-D). In the future, this object will be coerced as if it was first converted using `np.array(obj)`. To retain the old behaviour, you have to either modify the type 'Tensor', or assign to an empty array created with `np.empty(correct_shape, dtype=object)`.
  experiences = np.asarray(experiences, dtype=object)
C:\Users\lenna\PycharmProjects\MountainCar\DQN\train_dqn_frame_skip.py:127: FutureWarning: The input object of type 'Tensor' is an array-like implementing one of the corresponding protocols (`__array__`, `__array_interface__` or `__array_struct__`); but not a sequence (or 0-D). In the future, this object will be coerced as if it was first converted using `np.array(obj)`. To retain the old behaviour, you have to either modify the type 'Tensor', or assign to an empty array created with `np.empty(correct_shape, dtype=object)`.
  experience = np.asarray([np.array(i, dtype=object) for i in experience])
episode: 1	 steps: 200	 total steps: 200	 epsilon: 0.90
episode: 1	 steps: 300	 total steps: 300	 epsilon: 0.90
episode: 1	 steps: 400	 total steps: 400	 epsilon: 0.90
episode: 1	 steps: 500	 total steps: 500	 epsilon: 0.90
episode: 1	 steps: 600	 total steps: 600	 epsilon: 0.90
episode: 1	 steps: 700	 total steps: 700	 epsilon: 0.89
episode: 1	 steps: 800	 total steps: 800	 epsilon: 0.89
episode: 1	 steps: 900	 total steps: 900	 epsilon: 0.89
episode: 1	 steps: 1000	 total steps: 1000	 epsilon: 0.89
episode: 1	 steps: 1100	 total steps: 1100	 epsilon: 0.89
episode: 1	 steps: 1200	 total steps: 1200	 epsilon: 0.89
episode: 2	 steps: 100	 total steps: 1392	 epsilon: 0.89
episode: 2	 steps: 200	 total steps: 1492	 epsilon: 0.89
episode: 2	 steps: 300	 total steps: 1592	 epsilon: 0.89
episode: 2	 steps: 400	 total steps: 1692	 epsilon: 0.89
episode: 2	 steps: 500	 total steps: 1792	 epsilon: 0.89
episode: 2	 steps: 600	 total steps: 1892	 epsilon: 0.89
episode: 2	 steps: 700	 total steps: 1992	 epsilon: 0.88
episode: 2	 steps: 800	 total steps: 2092	 epsilon: 0.88
episode: 2	 steps: 900	 total steps: 2192	 epsilon: 0.88
episode: 2	 steps: 1000	 total steps: 2292	 epsilon: 0.88
episode: 2	 steps: 1100	 total steps: 2392	 epsilon: 0.88
episode: 2	 steps: 1200	 total steps: 2492	 epsilon: 0.88
episode: 2	 steps: 1300	 total steps: 2592	 epsilon: 0.88
episode: 2	 steps: 1400	 total steps: 2692	 epsilon: 0.88
episode: 2	 steps: 1500	 total steps: 2792	 epsilon: 0.88
episode: 2	 steps: 1600	 total steps: 2892	 epsilon: 0.88
episode: 2	 steps: 1700	 total steps: 2992	 epsilon: 0.88
episode: 2	 steps: 1800	 total steps: 3092	 epsilon: 0.88
episode: 3	 steps: 100	 total steps: 3240	 epsilon: 0.87
episode: 3	 steps: 200	 total steps: 3340	 epsilon: 0.87
episode: 3	 steps: 300	 total steps: 3440	 epsilon: 0.87
episode: 3	 steps: 400	 total steps: 3540	 epsilon: 0.87
episode: 3	 steps: 500	 total steps: 3640	 epsilon: 0.87
episode: 3	 steps: 600	 total steps: 3740	 epsilon: 0.87
episode: 3	 steps: 700	 total steps: 3840	 epsilon: 0.87
episode: 3	 steps: 800	 total steps: 3940	 epsilon: 0.87
episode: 3	 steps: 900	 total steps: 4040	 epsilon: 0.87
episode: 3	 steps: 1000	 total steps: 4140	 epsilon: 0.87
episode: 3	 steps: 1100	 total steps: 4240	 epsilon: 0.87
episode: 3	 steps: 1200	 total steps: 4340	 epsilon: 0.87
episode: 3	 steps: 1300	 total steps: 4440	 epsilon: 0.87
episode: 3	 steps: 1400	 total steps: 4540	 epsilon: 0.86
episode: 3	 steps: 1500	 total steps: 4640	 epsilon: 0.86
episode: 3	 steps: 1600	 total steps: 4740	 epsilon: 0.86
episode: 3	 steps: 1700	 total steps: 4840	 epsilon: 0.86
episode: 3	 steps: 1800	 total steps: 4940	 epsilon: 0.86
episode: 3	 steps: 1900	 total steps: 5040	 epsilon: 0.86
episode: 3	 steps: 2000	 total steps: 5140	 epsilon: 0.86
episode: 3	 steps: 2100	 total steps: 5240	 epsilon: 0.86
episode: 3	 steps: 2200	 total steps: 5340	 epsilon: 0.86
episode: 3	 steps: 2300	 total steps: 5440	 epsilon: 0.86
episode: 3	 steps: 2400	 total steps: 5540	 epsilon: 0.86
episode: 3	 steps: 2500	 total steps: 5640	 epsilon: 0.86
episode: 3	 steps: 2600	 total steps: 5740	 epsilon: 0.86
episode: 3	 steps: 2700	 total steps: 5840	 epsilon: 0.85
episode: 3	 steps: 2800	 total steps: 5940	 epsilon: 0.85
episode: 3	 steps: 2900	 total steps: 6040	 epsilon: 0.85
episode: 3	 steps: 3000	 total steps: 6140	 epsilon: 0.85
episode: 4	 steps: 100	 total steps: 6300	 epsilon: 0.85
episode: 4	 steps: 200	 total steps: 6400	 epsilon: 0.85
episode: 4	 steps: 300	 total steps: 6500	 epsilon: 0.85
episode: 4	 steps: 400	 total steps: 6600	 epsilon: 0.85
episode: 4	 steps: 500	 total steps: 6700	 epsilon: 0.85
episode: 4	 steps: 600	 total steps: 6800	 epsilon: 0.85
episode: 4	 steps: 700	 total steps: 6900	 epsilon: 0.85
episode: 4	 steps: 800	 total steps: 7000	 epsilon: 0.85
episode: 4	 steps: 900	 total steps: 7100	 epsilon: 0.85
episode: 5	 steps: 100	 total steps: 7272	 epsilon: 0.84
episode: 5	 steps: 200	 total steps: 7372	 epsilon: 0.84
episode: 5	 steps: 300	 total steps: 7472	 epsilon: 0.84
episode: 5	 steps: 400	 total steps: 7572	 epsilon: 0.84
episode: 5	 steps: 500	 total steps: 7672	 epsilon: 0.84
episode: 5	 steps: 600	 total steps: 7772	 epsilon: 0.84
episode: 5	 steps: 700	 total steps: 7872	 epsilon: 0.84
episode: 5	 steps: 800	 total steps: 7972	 epsilon: 0.84
episode: 5	 steps: 900	 total steps: 8072	 epsilon: 0.84
episode: 5	 steps: 1000	 total steps: 8172	 epsilon: 0.84
episode: 5	 steps: 1100	 total steps: 8272	 epsilon: 0.84
episode: 5	 steps: 1200	 total steps: 8372	 epsilon: 0.84
episode: 5	 steps: 1300	 total steps: 8472	 epsilon: 0.84
episode: 5	 steps: 1400	 total steps: 8572	 epsilon: 0.83
episode: 5	 steps: 1500	 total steps: 8672	 epsilon: 0.83
episode: 5	 steps: 1600	 total steps: 8772	 epsilon: 0.83
episode: 5	 steps: 1700	 total steps: 8872	 epsilon: 0.83
episode: 5	 steps: 1800	 total steps: 8972	 epsilon: 0.83
episode: 5	 steps: 1900	 total steps: 9072	 epsilon: 0.83
episode: 5	 steps: 2000	 total steps: 9172	 epsilon: 0.83
episode: 5	 steps: 2100	 total steps: 9272	 epsilon: 0.83
episode: 5	 steps: 2200	 total steps: 9372	 epsilon: 0.83
episode: 5	 steps: 2300	 total steps: 9472	 epsilon: 0.83
episode: 5	 steps: 2400	 total steps: 9572	 epsilon: 0.83
episode: 5	 steps: 2500	 total steps: 9672	 epsilon: 0.83
episode: 5	 steps: 2600	 total steps: 9772	 epsilon: 0.83
episode: 5	 steps: 2700	 total steps: 9872	 epsilon: 0.82
episode: 5	 steps: 2800	 total steps: 9972	 epsilon: 0.82
episode: 5	 steps: 2900	 total steps: 10072	 epsilon: 0.82
episode: 5	 steps: 3000	 total steps: 10172	 epsilon: 0.82
episode: 5	 steps: 3100	 total steps: 10272	 epsilon: 0.82
episode: 5	 steps: 3200	 total steps: 10372	 epsilon: 0.82
episode: 5	 steps: 3300	 total steps: 10472	 epsilon: 0.82
episode: 5	 steps: 3400	 total steps: 10572	 epsilon: 0.82
episode: 6	 steps: 100	 total steps: 10764	 epsilon: 0.82
episode: 6	 steps: 200	 total steps: 10864	 epsilon: 0.82
episode: 6	 steps: 300	 total steps: 10964	 epsilon: 0.82
episode: 6	 steps: 400	 total steps: 11064	 epsilon: 0.82
episode: 6	 steps: 500	 total steps: 11164	 epsilon: 0.82
episode: 6	 steps: 600	 total steps: 11264	 epsilon: 0.81
episode: 6	 steps: 700	 total steps: 11364	 epsilon: 0.81
episode: 7	 steps: 100	 total steps: 11464	 epsilon: 0.81
episode: 7	 steps: 200	 total steps: 11564	 epsilon: 0.81
episode: 7	 steps: 300	 total steps: 11664	 epsilon: 0.81
episode: 7	 steps: 400	 total steps: 11764	 epsilon: 0.81
episode: 7	 steps: 500	 total steps: 11864	 epsilon: 0.81
episode: 7	 steps: 600	 total steps: 11964	 epsilon: 0.81
episode: 7	 steps: 700	 total steps: 12064	 epsilon: 0.81
episode: 7	 steps: 800	 total steps: 12164	 epsilon: 0.81
episode: 7	 steps: 900	 total steps: 12264	 epsilon: 0.81
episode: 7	 steps: 1000	 total steps: 12364	 epsilon: 0.81
episode: 8	 steps: 100	 total steps: 12488	 epsilon: 0.81
episode: 8	 steps: 200	 total steps: 12588	 epsilon: 0.81
episode: 8	 steps: 300	 total steps: 12688	 epsilon: 0.80
episode: 8	 steps: 400	 total steps: 12788	 epsilon: 0.80
episode: 8	 steps: 500	 total steps: 12888	 epsilon: 0.80
episode: 8	 steps: 600	 total steps: 12988	 epsilon: 0.80
episode: 8	 steps: 700	 total steps: 13088	 epsilon: 0.80
episode: 8	 steps: 800	 total steps: 13188	 epsilon: 0.80
episode: 8	 steps: 900	 total steps: 13288	 epsilon: 0.80
episode: 8	 steps: 1000	 total steps: 13388	 epsilon: 0.80
episode: 8	 steps: 1100	 total steps: 13488	 epsilon: 0.80
episode: 8	 steps: 1200	 total steps: 13588	 epsilon: 0.80
episode: 8	 steps: 1300	 total steps: 13688	 epsilon: 0.80
episode: 9	 steps: 100	 total steps: 13880	 epsilon: 0.80
episode: 9	 steps: 200	 total steps: 13980	 epsilon: 0.80
episode: 9	 steps: 300	 total steps: 14080	 epsilon: 0.79
episode: 9	 steps: 400	 total steps: 14180	 epsilon: 0.79
episode: 9	 steps: 500	 total steps: 14280	 epsilon: 0.79
episode: 10	 steps: 100	 total steps: 14468	 epsilon: 0.79
episode: 10	 steps: 200	 total steps: 14568	 epsilon: 0.79
episode: 10	 steps: 300	 total steps: 14668	 epsilon: 0.79
episode: 10	 steps: 400	 total steps: 14768	 epsilon: 0.79
episode: 10	 steps: 500	 total steps: 14868	 epsilon: 0.79
episode: 10	 steps: 600	 total steps: 14968	 epsilon: 0.79
episode: 11	 steps: 100	 total steps: 15156	 epsilon: 0.79
episode: 11	 steps: 200	 total steps: 15256	 epsilon: 0.79
episode: 11	 steps: 300	 total steps: 15356	 epsilon: 0.79
episode: 12	 steps: 100	 total steps: 15476	 epsilon: 0.79
episode: 12	 steps: 200	 total steps: 15576	 epsilon: 0.78
episode: 12	 steps: 300	 total steps: 15676	 epsilon: 0.78
episode: 12	 steps: 400	 total steps: 15776	 epsilon: 0.78
episode: 12	 steps: 500	 total steps: 15876	 epsilon: 0.78
episode: 12	 steps: 600	 total steps: 15976	 epsilon: 0.78
episode: 12	 steps: 700	 total steps: 16076	 epsilon: 0.78
episode: 12	 steps: 800	 total steps: 16176	 epsilon: 0.78
episode: 12	 steps: 900	 total steps: 16276	 epsilon: 0.78
episode: 12	 steps: 1000	 total steps: 16376	 epsilon: 0.78
