episode: 001	 steps: 10001	 total steps:010001	 epsilon: 0.98	 average Q: 0.021
episode: 002	 steps: 10001	 total steps:020001	 epsilon: 0.96	 average Q: 0.020
episode: 003	 steps: 10001	 total steps:030001	 epsilon: 0.94	 average Q: 0.020
episode: 004	 steps: 01465	 total steps:031465	 epsilon: 0.94	 average Q: 0.020
episode: 005	 steps: 06713	 total steps:038177	 epsilon: 0.92	 average Q: 0.020
episode: 006	 steps: 09257	 total steps:047433	 epsilon: 0.91	 average Q: 0.020
episode: 007	 steps: 08401	 total steps:055833	 epsilon: 0.89	 average Q: 0.021
episode: 008	 steps: 10001	 total steps:065833	 epsilon: 0.87	 average Q: 0.021
episode: 009	 steps: 10001	 total steps:075833	 epsilon: 0.85	 average Q: 0.020
episode: 010	 steps: 10001	 total steps:085833	 epsilon: 0.83	 average Q: 0.021
episode: 011	 steps: 08957	 total steps:094789	 epsilon: 0.81	 average Q: 0.021
episode: 012	 steps: 10001	 total steps:104789	 epsilon: 0.79	 average Q: 0.020
episode: 013	 steps: 03449	 total steps:108237	 epsilon: 0.79	 average Q: 0.020
episode: 014	 steps: 03221	 total steps:111457	 epsilon: 0.78	 average Q: 0.021
episode: 015	 steps: 07885	 total steps:119341	 epsilon: 0.76	 average Q: 0.020
episode: 016	 steps: 10001	 total steps:129341	 epsilon: 0.74	 average Q: 0.021
episode: 017	 steps: 10001	 total steps:139341	 epsilon: 0.72	 average Q: 0.021
episode: 018	 steps: 10001	 total steps:149341	 epsilon: 0.70	 average Q: 0.020
episode: 019	 steps: 10001	 total steps:159341	 epsilon: 0.68	 average Q: 0.021
episode: 020	 steps: 10001	 total steps:169341	 epsilon: 0.66	 average Q: 0.021
episode: 021	 steps: 10001	 total steps:179341	 epsilon: 0.64	 average Q: 0.021
episode: 022	 steps: 07497	 total steps:186837	 epsilon: 0.63	 average Q: 0.020
episode: 023	 steps: 10001	 total steps:196837	 epsilon: 0.61	 average Q: 0.020
episode: 024	 steps: 10001	 total steps:206837	 epsilon: 0.59	 average Q: 0.020
episode: 025	 steps: 07173	 total steps:214009	 epsilon: 0.58	 average Q: 0.020
episode: 026	 steps: 04437	 total steps:218445	 epsilon: 0.57	 average Q: 0.021
episode: 027	 steps: 09577	 total steps:228021	 epsilon: 0.55	 average Q: 0.020
episode: 028	 steps: 10001	 total steps:238021	 epsilon: 0.53	 average Q: 0.020
episode: 029	 steps: 10001	 total steps:248021	 epsilon: 0.51	 average Q: 0.020
episode: 030	 steps: 06009	 total steps:254029	 epsilon: 0.50	 average Q: 0.021
episode: 031	 steps: 07425	 total steps:261453	 epsilon: 0.48	 average Q: 0.021
episode: 032	 steps: 10001	 total steps:271453	 epsilon: 0.46	 average Q: 0.020
episode: 033	 steps: 10001	 total steps:281453	 epsilon: 0.44	 average Q: 0.020
episode: 034	 steps: 02049	 total steps:283501	 epsilon: 0.44	 average Q: 0.020
episode: 035	 steps: 09909	 total steps:293409	 epsilon: 0.42	 average Q: 0.020
episode: 036	 steps: 03717	 total steps:297125	 epsilon: 0.41	 average Q: 0.020
episode: 037	 steps: 02745	 total steps:299869	 epsilon: 0.41	 average Q: 0.020
episode: 038	 steps: 03185	 total steps:303053	 epsilon: 0.40	 average Q: 0.020
episode: 039	 steps: 10001	 total steps:313053	 epsilon: 0.38	 average Q: 0.020
episode: 040	 steps: 08017	 total steps:321069	 epsilon: 0.36	 average Q: 0.020
episode: 041	 steps: 04525	 total steps:325593	 epsilon: 0.36	 average Q: 0.020
episode: 042	 steps: 01601	 total steps:327193	 epsilon: 0.35	 average Q: 0.020
episode: 043	 steps: 00881	 total steps:328073	 epsilon: 0.35	 average Q: 0.020
episode: 044	 steps: 02741	 total steps:330813	 epsilon: 0.35	 average Q: 0.020
episode: 045	 steps: 01157	 total steps:331969	 epsilon: 0.34	 average Q: 0.020
episode: 046	 steps: 00565	 total steps:332533	 epsilon: 0.34	 average Q: 0.020
episode: 047	 steps: 00561	 total steps:333093	 epsilon: 0.34	 average Q: 0.020
episode: 048	 steps: 01821	 total steps:334913	 epsilon: 0.34	 average Q: 0.020
episode: 049	 steps: 00797	 total steps:335709	 epsilon: 0.34	 average Q: 0.020
episode: 050	 steps: 00701	 total steps:336409	 epsilon: 0.33	 average Q: 0.020
Evaluation: 1	 average reward: -1905.7
episode: 051	 steps: 01865	 total steps:338273	 epsilon: 0.33	 average Q: 0.020
episode: 052	 steps: 05041	 total steps:343313	 epsilon: 0.32	 average Q: 0.020
episode: 053	 steps: 00841	 total steps:344153	 epsilon: 0.32	 average Q: 0.020
episode: 054	 steps: 01581	 total steps:345733	 epsilon: 0.32	 average Q: 0.020
episode: 055	 steps: 00861	 total steps:346593	 epsilon: 0.31	 average Q: 0.020
episode: 056	 steps: 01125	 total steps:347717	 epsilon: 0.31	 average Q: 0.020
episode: 057	 steps: 01205	 total steps:348921	 epsilon: 0.31	 average Q: 0.020
episode: 058	 steps: 01393	 total steps:350313	 epsilon: 0.31	 average Q: 0.020
episode: 059	 steps: 00221	 total steps:350533	 epsilon: 0.31	 average Q: 0.020
episode: 060	 steps: 01849	 total steps:352381	 epsilon: 0.30	 average Q: 0.020
episode: 061	 steps: 03425	 total steps:355805	 epsilon: 0.30	 average Q: 0.020
episode: 062	 steps: 00645	 total steps:356449	 epsilon: 0.29	 average Q: 0.020
episode: 063	 steps: 01325	 total steps:357773	 epsilon: 0.29	 average Q: 0.020
episode: 064	 steps: 00617	 total steps:358389	 epsilon: 0.29	 average Q: 0.020
episode: 065	 steps: 00669	 total steps:359057	 epsilon: 0.29	 average Q: 0.020
episode: 066	 steps: 02765	 total steps:361821	 epsilon: 0.28	 average Q: 0.020
episode: 067	 steps: 00581	 total steps:362401	 epsilon: 0.28	 average Q: 0.020
episode: 068	 steps: 00709	 total steps:363109	 epsilon: 0.28	 average Q: 0.020
episode: 069	 steps: 00429	 total steps:363537	 epsilon: 0.28	 average Q: 0.020
episode: 070	 steps: 03381	 total steps:366917	 epsilon: 0.27	 average Q: 0.020
episode: 071	 steps: 01781	 total steps:368697	 epsilon: 0.27	 average Q: 0.020
episode: 072	 steps: 00425	 total steps:369121	 epsilon: 0.27	 average Q: 0.020
episode: 073	 steps: 02225	 total steps:371345	 epsilon: 0.26	 average Q: 0.020
episode: 074	 steps: 01057	 total steps:372401	 epsilon: 0.26	 average Q: 0.020
episode: 075	 steps: 02281	 total steps:374681	 epsilon: 0.26	 average Q: 0.020
episode: 076	 steps: 01749	 total steps:376429	 epsilon: 0.25	 average Q: 0.020
episode: 077	 steps: 01309	 total steps:377737	 epsilon: 0.25	 average Q: 0.020
episode: 078	 steps: 01753	 total steps:379489	 epsilon: 0.25	 average Q: 0.020
episode: 079	 steps: 00773	 total steps:380261	 epsilon: 0.25	 average Q: 0.020
episode: 080	 steps: 00333	 total steps:380593	 epsilon: 0.25	 average Q: 0.020
episode: 081	 steps: 01593	 total steps:382185	 epsilon: 0.24	 average Q: 0.020
episode: 082	 steps: 00749	 total steps:382933	 epsilon: 0.24	 average Q: 0.020
episode: 083	 steps: 01205	 total steps:384137	 epsilon: 0.24	 average Q: 0.020
episode: 084	 steps: 02361	 total steps:386497	 epsilon: 0.23	 average Q: 0.020
episode: 085	 steps: 00537	 total steps:387033	 epsilon: 0.23	 average Q: 0.020
episode: 086	 steps: 00521	 total steps:387553	 epsilon: 0.23	 average Q: 0.020
episode: 087	 steps: 04569	 total steps:392121	 epsilon: 0.22	 average Q: 0.020
episode: 088	 steps: 03725	 total steps:395845	 epsilon: 0.22	 average Q: 0.020
episode: 089	 steps: 05269	 total steps:401113	 epsilon: 0.21	 average Q: 0.020
episode: 090	 steps: 01565	 total steps:402677	 epsilon: 0.20	 average Q: 0.020
episode: 091	 steps: 01089	 total steps:403765	 epsilon: 0.20	 average Q: 0.020
episode: 092	 steps: 00317	 total steps:404081	 epsilon: 0.20	 average Q: 0.020
episode: 093	 steps: 02189	 total steps:406269	 epsilon: 0.20	 average Q: 0.020
episode: 094	 steps: 00721	 total steps:406989	 epsilon: 0.19	 average Q: 0.020
episode: 095	 steps: 05177	 total steps:412165	 epsilon: 0.18	 average Q: 0.020
episode: 096	 steps: 02701	 total steps:414865	 epsilon: 0.18	 average Q: 0.020
episode: 097	 steps: 05737	 total steps:420601	 epsilon: 0.17	 average Q: 0.020
episode: 098	 steps: 04517	 total steps:425117	 epsilon: 0.16	 average Q: 0.020
episode: 099	 steps: 03081	 total steps:428197	 epsilon: 0.15	 average Q: 0.020
episode: 100	 steps: 02541	 total steps:430737	 epsilon: 0.15	 average Q: 0.020
Evaluation: 2	 average reward: -2500.0
episode: 101	 steps: 01217	 total steps:431953	 epsilon: 0.14	 average Q: 0.020
episode: 102	 steps: 02793	 total steps:434745	 epsilon: 0.14	 average Q: 0.020
episode: 103	 steps: 00593	 total steps:435337	 epsilon: 0.14	 average Q: 0.020
episode: 104	 steps: 01409	 total steps:436745	 epsilon: 0.14	 average Q: 0.020
episode: 105	 steps: 01421	 total steps:438165	 epsilon: 0.13	 average Q: 0.020
episode: 106	 steps: 01709	 total steps:439873	 epsilon: 0.13	 average Q: 0.020
episode: 107	 steps: 01661	 total steps:441533	 epsilon: 0.13	 average Q: 0.020
episode: 108	 steps: 00833	 total steps:442365	 epsilon: 0.12	 average Q: 0.020
episode: 109	 steps: 01329	 total steps:443693	 epsilon: 0.12	 average Q: 0.020
episode: 110	 steps: 01233	 total steps:444925	 epsilon: 0.12	 average Q: 0.020
episode: 111	 steps: 00989	 total steps:445913	 epsilon: 0.12	 average Q: 0.020
episode: 112	 steps: 00309	 total steps:446221	 epsilon: 0.12	 average Q: 0.020
episode: 113	 steps: 01105	 total steps:447325	 epsilon: 0.11	 average Q: 0.020
episode: 114	 steps: 01621	 total steps:448945	 epsilon: 0.11	 average Q: 0.020
episode: 115	 steps: 02505	 total steps:451449	 epsilon: 0.11	 average Q: 0.020
episode: 116	 steps: 02981	 total steps:454429	 epsilon: 0.10	 average Q: 0.020
episode: 117	 steps: 01877	 total steps:456305	 epsilon: 0.10	 average Q: 0.020
episode: 118	 steps: 00617	 total steps:456921	 epsilon: 0.10	 average Q: 0.020
episode: 119	 steps: 04837	 total steps:461757	 epsilon: 0.09	 average Q: 0.020
episode: 120	 steps: 01753	 total steps:463509	 epsilon: 0.08	 average Q: 0.020
episode: 121	 steps: 00901	 total steps:464409	 epsilon: 0.08	 average Q: 0.020
episode: 122	 steps: 04709	 total steps:469117	 epsilon: 0.07	 average Q: 0.020
episode: 123	 steps: 00233	 total steps:469349	 epsilon: 0.07	 average Q: 0.020
